,project,link,title,author,length,subjects,title_appearences_relative -> '0'
0,usa,https://www.gutenberg.org/cache/epub/38028/pg38028.txt,The World Masters,"Griffith, George Chetwynd, 1857-1906",9874,"[Science fiction, Imaginary wars and battles -- Fiction, Electricity -- Fiction]",0.6648774559449058
1,usa,https://www.gutenberg.org/cache/epub/43263/pg43263.txt,The Arrow of Fire,"Snell, Roy J. (Roy Judson), 1878-1959",4239,"[Mystery and detective stories, Police -- Juvenile fiction, Gangsters -- Juvenile fiction]",0.7525359754659118
2,usa,https://www.gutenberg.org/cache/epub/34478/pg34478.txt,The Modern Ku Klux Klan,"Fry, Henry P. (Henry Peck), 1881-1956",7221,[Ku Klux Klan (1915- )],0.6785763744633707
3,canada,http://gutenberg.ca/ebooks/williamsc-placeofthelion/williamsc-placeofthelion-00-t.txt,The Place of the Lion,"Williams, Charles Walter Stansby (1886-1945)",5790,"[Fiction, Fantasy, Classics, Christian, Literature, Christian Fiction, Novels]",0.8495682210708118
4,usa,https://www.gutenberg.org/cache/epub/43081/pg43081.txt,On the Road to Bagdad,"Brereton, F. S. (Frederick Sadleir), 1872-1957; Paget, Walter, 1863-1935 [Illustrator]",9080,"[World War, 1914-1918 -- Juvenile fiction]",0.8040748898678414
5,usa,https://www.gutenberg.org/cache/epub/18177/pg18177.txt,In the Field (1914-1915),"Dupont, Marcel, 1879-1964",4834,"[World War, 1914-1918 -- Personal narratives, French]",0.6152254861398427
6,usa,https://www.gutenberg.org/cache/epub/28991/pg28991.txt,The Next Step,"Nearing, Scott, 1883-1983",5106,[Economic history],0.818448883666275
7,canada,http://gutenberg.ca/ebooks/kayesmith-shepherds/kayesmith-shepherds-00-t.txt,Shepherds in Sackcloth,Sheila Kaye-Smith (1887-1956),7886,[fiction],0.880420999239158
8,australia,http://www.gutenberg.net.au/ebooks16/1601371.txt,The Witness of the Skies,White Fred Merrick,433,"[short stories, fiction]",0.9422632794457275
9,usa,https://www.gutenberg.org/cache/epub/51174/pg51174.txt,The Man in Black,"James, G. P. R. (George Payne Rainsford), 1801?-1860",13218,"[Great Britain -- History -- Anne, 1702-1714 -- Fiction]",0.6136329247995158
