,id,link,title,author,length,title_appearences_locs,title_appearences_relative,title_appearences_count,failed,subjects,year
0,1302431,http://www.gutenberg.net.au/ebooks13/1302431.txt,The League of Ancient Mariners,Barry John Arthur,90,[6],[0.06666666666666667],1,,,
1,600291,http://www.gutenberg.net.au/ebooks06/0600291.txt,Turnabout,Smith Thorne,7709,[],[],0,,"[Fiction, Humor, Fantasy, Classics, Paranormal, Ghosts, Comedy]",1926.0
2,301091,http://www.gutenberg.net.au/ebooks03/0301091.txt,The Stars Are Still There,White Stewart Edward,3583,[3275],[0.9140385152107173],1,,"[psychics, non fiction]",
3,501161,http://www.gutenberg.net.au/ebooks05/0501161.txt,The Shortstop,Grey Zane,4550,[443],[0.09736263736263737],1,,"[Baseball, Sports, Fiction, Westerns, Audiobook, Historical]",1909.0
4,800051,http://www.gutenberg.net.au/ebooks08/0800051.txt,Burma and the Karens,Po San C,2864,[],[],0,,,
5,900991,http://www.gutenberg.net.au/ebooks09/0900991.txt,The Story of Dr Wassell,Hilton James,3198,[],[],0,,"[History, World War II, Biography]",1943.0
6,1202791,http://www.gutenberg.net.au/ebooks12/1202791.txt,The Postmaster of Market Deignton,Oppenheim E Phillips,7512,"[602, 5532]","[0.08013844515441959, 0.73642172523961660]",2,,,
7,606621,http://www.gutenberg.net.au/ebooks06/0606621.txt,Collected stories,Wood Ellen,5103,[],[],0,,"[Short Stories, Fiction, Brazil, Classics, Literature, 19th Century, Latin American]",2018.0
8,608541,http://www.gutenberg.net.au/ebooks06/0608541.txt,The Tower,Yeats William Butler,1202,[432],[0.3594009983361065],1,,"[Poetry, Classics, Fiction, Irish Literature, Ireland, Literature, 20th Century]",1928.0
9,700951,http://www.gutenberg.net.au/ebooks07/0700951.txt,The Yellow Snake,Wallace Edgar,5907,[1113],[0.18842051802945659],1,,"[Crime, Mystery, Detective]",1968.0
