,link,title,author,tags,length,title_appearences_locs,title_appearences_relative,title_appearences_count,failed
0,https://standardebooks.org/ebooks/leo-tolstoy/hadji-murad/aylmer-maude/text/single-page,Hadji Murád,Leo Tolstoy,Fiction,,,,,
1,https://standardebooks.org/ebooks/jack-london/the-iron-heel/text/single-page,The Iron Heel,Jack London,Fiction,,,,,
2,https://standardebooks.org/ebooks/george-macdonald/at-the-back-of-the-north-wind/text/single-page,At the Back of the North Wind,George MacDonald,"Children’s, Fantasy",,,,,
3,https://standardebooks.org/ebooks/alan-sullivan/the-jade-god/text/single-page,The Jade God,Alan Sullivan,"Fiction, Mystery",,,,,
4,https://standardebooks.org/ebooks/edgar-wallace/room-13/text/single-page,Room 13,Edgar Wallace,"Adventure, Fiction",,,,,
5,https://standardebooks.org/ebooks/jack-london/before-adam/text/single-page,Before Adam,Jack London,Fiction,,,,,
6,https://standardebooks.org/ebooks/e-w-hornung/the-black-mask/text/single-page,The Black Mask,E. W. Hornung,"Fiction, Shorts",,,,,
7,https://standardebooks.org/ebooks/stanley-g-weinbaum/short-fiction/text/single-page,Short Fiction,Stanley G. Weinbaum,"Science Fiction, Shorts",,,,,
8,https://standardebooks.org/ebooks/w-somerset-maugham/on-a-chinese-screen/text/single-page,On a Chinese Screen,W. Somerset Maugham,"Shorts, Travel",,,,,
9,https://standardebooks.org/ebooks/william-shakespeare/the-winters-tale/text/single-page,The Winter’s Tale,William Shakespeare,Drama,,,,,
